LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP
Y0035,7,1.6285714285714286,1.5857142857142856,0.1142857142857143,0.014285714285714287,0.32857142857142857,1.0142857142857142,1.8142857142857143,0.4285714285714286,0.6571428571428571,0.14285714285714285,8.216,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.951,8.481,1167.3285714285716,897.1826091685567,1349.14131644854,544.3436223721105,1011.6827457442218,1797.3037789111947,1507.89580157959,1284.037841796875,1184.591645704035,11.690599325213245,17.889541301591,12.724383167420878,14.854249595416999,13.185018703344632,16.2810888710841,14.804317474365234,22.92857142857143,14.437480160678472,953.378101110969
Y0036,8,1.8375,1.5,0.025,0,0.4125,1.05,1.825,0.45,0.6625,0.25,8.216,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.951,8.481,1076.9125,505.49287197324037,950.756409931235,-54.8021794776364,517.276455416026,1325.7493769980033,550.891879424513,217.52638244628906,632.5608023775636,7.962231892254425,13.7054992089351,7.971273154731771,7.85200340359456,8.515082401226131,14.028116066614,7.839911937713623,19.875,10.005701021225999,822.649344097687
Y0037,6,1.0666666666666667,1.3333333333333333,0,0,0.05,0.85,2.05,0.8166666666666667,0.3333333333333333,0.6666666666666666,13.461,N 32 40.915,E 72 23.289,Chinji,K5,K5,13.426,13.495,1467.8833333333337,777.9800721455784,795.532313019474,980.6277627736449,922.9696994548026,1210.0440561230412,2063.08265602317,785.19012451171875,1125.0394265899517,3.1952065931355533,3.51851506280485,4.9112632616835326,3.8145735106420404,3.624505459815396,3.05814155118692,3.8136775493621826,8,3.6870342398780482,990.246754188566
Y0038,13,1.376923076923077,1.3076923076923077,0.07692307692307693,0,0.023076923076923078,1.0076923076923077,1.4076923076923078,0.6846153846153846,0.43846153846153846,0.46153846153846156,13.461,N 32 40.788,E 72 22.875,Chinji,K5,K5,13.426,13.495,1245.6,965.5109017959815,1629.49967952226,876.5928513675938,994.961625886208,1485.8163079923727,2289.72813765796,1453.3536376953125,1373.6849173703947,7.992813841368083,10.4688589034754,8.110156474129596,8.275857239680454,7.446649999813516,10.4846473591763,8.0950469970703125,13.846153846153845,8.796497302940555,989.551315459856
Y0040,5,1.22,1.8,0,0.02,0.04,0.8,2.48,0.58,0.52,0.4,13.403,N 32 41.178,E 72 24.136,Chinji,K4/KR4,K4/KR4,13.384,13.421,1465.62,1104.567570523139,1945.58228735655,1099.8741727877314,1229.053648194562,2068.6008541555284,2848.6198614545,1598.3509521484375,1716.0497324120022,7.821305527052756,11.1617913327709,13.659337211493888,7.294045020902228,13.038278992662985,11.9408674230664,7.270648002624512,15.6,10.819270917991528,990.245565526665
Y0041,11,1.1181818181818182,1.1818181818181819,0.18181818181818182,0.009090909090909092,0.027272727272727275,1.009090909090909,1.1181818181818182,0.7090909090909091,0.23636363636363636,0.5454545454545454,13.633,N 32 40.564,E 72 22.450,Chinji,K4/KR4,K4/KR4,13.63,13.635,1319.2000000000003,1053.3392288234681,1607.52383240935,1015.0106804161843,1049.9117782692122,1662.8195321316136,2009.05739133039,1153.7230224609375,1399.6104072300363,5.919209065540623,8.52047428157252,10.162453591966479,6.7228445137135955,9.219322916158173,7.71793422541826,7.783871650695801,11.454545454545455,8.043706432394941,990.246490481094
Y0042,7,1.2,1.3,0.1142857142857143,0.014285714285714287,0.04285714285714286,1.0142857142857142,1.5285714285714287,0.5714285714285714,0.5142857142857142,0.2857142857142857,12.653,N 32 41.321,E 72 22.960,Chinji,Hutch Nala,Hutch Nala,12.561,12.744,1291.1857142857143,1094.2753269028187,2021.98606665758,1225.385151823033,1161.397645934993,2228.434644977871,2770.93809560814,1243.509765625,1750.4028219840727,7.985937931701436,12.6113710873415,11.044580231639216,8.079822509847657,11.420232665811653,13.5671393583194,7.969010829925537,18.857142857142858,10.784847297443475,990.245801541599
Y0043,6,1.5333333333333332,1.3333333333333333,0,0,0.03333333333333333,1.1666666666666667,1.7333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,12.96,N 32 41.520,E 72 24.081,Chinji,Rata Dala Nala,Rata Dala Nala,12.879,13.04,1066.7,921.1326463424766,1396.82224952295,892.8106864076456,1036.0450401600608,1584.0298805900513,2484.17894456435,1301.8311767578125,1385.8365745979222,7.924744516369918,11.7487845230947,7.562903281592883,8.042954312003928,8.094184788548436,12.9888073607896,8.030261993408203,17.5,9.393729797066573,976.407641316797
Y0050,7,1.2,1.3,0.1142857142857143,0.014285714285714287,0.04285714285714286,1.0142857142857142,1.5285714285714287,0.7142857142857143,0.37142857142857144,0.42857142857142855,13.061,N 32 40.770,E 72 21.244,Chinji,Hutch Nala,Hutch Nala,12.994,13.128,1291.1857142857143,1069.753147295508,1936.30416546342,1125.6782390415292,1159.5609555674214,2007.5322615642065,2663.04106920741,1539.23291015625,1660.3116396899165,7.958911212233398,10.9042997741233,12.180779126754494,8.004951190714737,11.556786183569848,11.3309710130749,7.9610443115234375,14.785714285714286,10.322783083411784,990.245801541599
Y0051,7,1.1714285714285715,1,0,0,0.014285714285714287,1.0142857142857142,1.1285714285714286,0.8428571428571429,0.2857142857142857,0.7142857142857143,12.114,N 32 41.639,E 72 22.988,Chinji,Rata Dala Nala,Rata Dala Nala,11.984,12.244,1299.4428571428575,586.2241204630567,601.944016587405,751.8497659482879,488.7466015426899,1258.6669700490334,1419.99831497438,777.3201904296875,851.2382982608092,0.05826614940840072,1.32013413709293,2.88871400890719,-4.338649841873282,1.5236391515859329,1.35789243704894,-4.320671081542969,6.642857142857142,0.46833267369501974,990.246088564797
