LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP,form_lon,form_lat,final_lon,final_lat,coord_source,lon_jit,lat_jit,bio15PredRF,bio15PredSCAM,bio15PredSVM,bio15PredGBM,bio15PredMARS,bio15PredGAM,bio15PredXGB,ensembleBio15,nppPredRF,nppPredSVM,nppPredGBM,nppPredMARS,nppPredGAM,nppPredSCAM,ensembleNPP,NPP_liu,MAP_lm_PN,MAT_lm_PN
KL020,6,2.033333333,1,0.166666667,0,0.35,1.516666667,0.316666667,0.483333333,0.666666667,0.166666667,9.837,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.769,9.905,627.85,583.6562126,865.386306,570.6638175,839.7618928,885.0401599,849.7684741,783.3755493,765.7128105,2.508840438,8.627671713,-0.09170828,7.071164746,-1.973989708,8.236828805,10.45251369,22.25,4.063134619,655.5265198,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.35755371,33.14446447,68.66417165,47.63656912,44.17878645,40.22997162,58.99788259,39.66969859,72.38600159,49.89618,852.5768406,731.2447651,851.8593829,675.2145361,853.1474927,875.9070241,806.6583402,756.1116667,567.1823632,10.95891583
KL021,6,1.733333333,1.333333333,0.166666667,0,0.366666667,1.333333333,1.066666667,0.333333333,0.616666667,0.166666667,8.118,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.077,8.159,868.7333333,806.661288,933.8901977,861.4954444,958.8470109,1140.58467,1036.370331,1045.877686,956.308157,2.508840438,8.627671713,-0.09170828,7.071164746,-1.973989708,8.236828805,10.45251369,22.25,4.063134619,1131.977125,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.45164708,32.96350374,58.82719887,44.6723805,31.79330543,36.70786464,37.13829801,23.9714319,41.60269928,38.85174656,1071.863025,1123.564534,966.2329772,1002.476464,1208.61166,1001.114075,1062.310456,1038.746667,1054.896552,10.95891583
L0012,6,2.033333333,1,0,0.333333333,0.183333333,1.85,0.316666667,0.483333333,0.666666667,0.333333333,7.96,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.843,8.077,347.5166667,701.1577616,659.6481336,775.9367834,743.3398305,609.459174,687.9195088,555.5887451,696.243532,12.95958143,3.41151482,22.18805802,12.22334543,10.60265957,2.631472099,10.78089333,17.5,10.66943856,655.5265198,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.52924868,32.9962492,81.01000483,69.40178111,70.32885836,84.42190254,104.1115146,80.09967359,85.63764191,81.56228917,716.3556722,989.8602216,772.6503381,1025.275097,915.4100734,783.6988533,867.2083759,408.2116667,416.4294114,2.494005036
L0021,5,1,1,0.2,0,0,1,0.8,0.8,0.2,0.6,11.404,N 32 41.880,E 72 19.943,Chinji,Hutch Nala,Hutch Nala,11.38,11.428,1361,2205.891134,2381.258158,2318.941156,2807.540047,178.4648855,3767.471918,2170.702393,2276.59455,-7.338070033,-8.552740313,-7.024065011,-8.926753359,-7.995304944,-7.94128342,-9.269918442,9.9,-7.96303618,3174.109679,72.33238333,32.698,73.53792306,33.24296667,actual,73.53792306,33.24296667,41.65344952,70.14034036,46.73527058,33.75539162,13.35166379,8.430109054,22.56331062,35.67770415,2019.862032,2123.39901,2247.956546,2256.012484,2390.040972,1544.462351,2096.955566,1609.8,4322.53223,-11.04985223
L0022,5,1.4,1.42,0.16,0.02,0.2,0.8,1.28,0.62,0.32,0.4,11.856,N 32 41.533,E 72 19.116,Chinji,Hutch Nala,Hutch Nala,11.79,11.921,1413.6,1341.035152,1270.295065,1374.219997,1541.378561,2191.226349,1590.908958,1082.133789,1551.51068,-8.168984696,0.652335884,-10.58813429,-9.948081722,-4.568272924,-1.058189696,-10.11785412,15.6,-5.613221241,2510.766523,72.33238333,32.698,73.52391,33.23708694,actual,73.52391,33.23708694,51.79392564,68.89938278,45.44173153,42.73637863,38.43863948,42.05727643,23.23765182,48.22788908,1505.485955,1830.316914,1872.860835,2033.915629,2040.763488,1153.685324,1739.504691,1696.82,2853.188494,-0.89195928
L0072,9,1.666666667,1.222222222,0.111111111,0.222222222,0.111111111,1.222222222,1,0.333333333,0.666666667,0.222222222,7.326,NA,NA,Dhok Pathan,Dhok Saira,Dhok Saira,7.208,7.444,981.4444444,1077.243788,1010.557322,1236.653545,1214.267634,1066.774686,1123.017019,1398.694214,1121.418999,9.160299371,5.454832768,13.45416244,11.20629031,18.90869845,6.319255354,9.404287338,20.66666667,10.75058978,1353.84277,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.53117189,33.18377088,94.02981226,70.60672088,60.03014336,75.86082369,62.52421161,59.9774137,95.48787689,70.50485425,1557.430867,1799.803259,1894.701178,1698.101532,1669.499127,1405.381179,1670.819524,1175,1292.477749,8.137278897
L0075,5,1.4,1,0.4,0.2,0,1.2,0,0.4,0.2,0.4,8.01,NA,NA,Dhok Pathan,Dhok Saira,Dhok Saira,7.645,8.374,1077.2,2892.54085,2374.163334,2540.117542,2815.362818,3127.976631,2335.599601,3123.162842,2680.96013,3.245649868,0.652335884,1.078980117,5.014652029,-2.092206498,-1.058189696,3.906867027,15.6,1.140203617,2510.766523,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.54492818,33.27952871,39.83378169,70.1403535,58.81805785,48.35533186,6.639447739,53.57298616,36.58012772,46.2266598,2373.144321,2114.512645,2324.684041,2035.290717,1812.192466,2012.488967,2112.052193,1279.34,1969.304515,-0.89195928
L0082,10,1.52,1.4,0.2,0.2,0.12,0.9,1.24,0.3,0.5,0.3,7.365,N 32 48.766,E 73 19.807,Dhok Pathan,Hasnot-SW,Dhok Saira,7.316,7.414,1294.82,1570.855105,1567.789475,1569.124548,1561.598475,1780.922475,1583.131871,1372.638916,1605.570325,4.919307264,4.071849866,2.006865724,3.630294733,-2.156577297,4.05725575,5.252647877,18.45,2.754832673,1966.659831,72.37276667,33.11698333,74.55228528,33.35964611,actual,74.55228528,33.35964611,72.9662853,70.12403267,54.44302958,84.00977891,55.74698296,53.27025283,75.26689911,65.09339371,2016.289349,2149.590123,2101.567951,2159.161967,2078.746282,1772.972417,2046.388015,1555.934,2171.706325,4.186987194
L0094,8,1.3875,1,0.375,0.0125,0.1375,0.8875,0.4875,0.35,0.45,0.125,10.228,NA,NA,Nagri,Dhala Nala (Lower),Dhala Nala (Lower),10.143,10.313,1343.625,1897.434184,2185.772766,1928.616959,2176.009025,2044.875295,2494.01142,1977.532471,2121.119941,1.340472041,12.27096477,6.808563754,5.436547398,1.556885976,10.70517135,4.871418953,23.4375,6.353100881,2563.135361,72.62806667,33.35673333,72.62806667,33.35673333,formation_centroid,72.61906562,33.34611356,61.3366368,75.31566614,49.68868827,40.94732188,56.14395779,43.16330638,52.1377182,54.43259621,1884.098862,2020.92762,2160.482628,1926.552407,2197.078839,1682.858416,1978.666462,1609.3,2680.782066,13.07514352
ML005,7,1.414285714,1,0.142857143,0.014285714,0.142857143,1.428571429,0.285714286,0.7,0.228571429,0.571428571,8.726,NA,NA,Dhok Pathan,Malhuwala Kas,Malhuwala Kas,8.661,8.791,880.8428571,1080.24583,937.0836691,1376.20025,1295.338636,777.1217417,1415.750869,956.1853027,1146.956833,-5.943654377,-8.451146386,-8.550334012,-3.731660059,-7.48016879,-7.92251808,-3.351217031,10.71428571,-7.013246951,2449.309938,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.39448646,33.13865244,66.08410324,70.02310296,61.05960971,53.57530625,64.37196112,69.59118675,29.5922966,64.11754501,880.0657777,1214.557809,1135.05363,1396.543826,1114.355377,669.2920948,1068.311419,1036.432857,1559.496405,-9.598724665
