LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0317,16,1.5375,1.25,0.25,0.0625,0.09375,1,1.04375,0.4375,0.5625,0.1875,9.248
Y0318,6,1.5166666666666666,1,0.16666666666666666,0.016666666666666666,0.18333333333333335,1.1833333333333333,0.65,0.6333333333333333,0.43333333333333335,0.3333333333333333,9.358
Y0324,10,1.43,1.01,0.08,0,0.11,1.21,0.63,0.71,0.5,0.4,8.936
Y0325,7,1.7857142857142858,1.2857142857142858,0,0.014285714285714287,0.32857142857142857,1.5857142857142856,1.1857142857142857,0.5428571428571428,0.7857142857142857,0.14285714285714285,8.792
Y0327,10,1.44,1.2,0.3,0.1,0.13,1.11,0.8300000000000001,0.39,0.5,0.2,9.252
Y0328,8,1.625,1.25,0.375,0,0.25,0.875,0.75,0.375,0.5,0.125,9.391
Y0329,8,1.525,1,0.25,0,0.1375,1.1375,0.4875,0.6125,0.5,0.25,9.692
Y0330,11,1.3909090909090909,1.3727272727272728,0.072727273,0,0.2,1.1818181818181819,1.5272727272727273,0.6545454545454545,0.6363636363636364,0.2727272727272727,9.692
Y0334,6,1.3833333333333333,1.0166666666666666,0.13333333333333333,0,0.18333333333333335,1.1833333333333333,0.7166666666666667,0.5166666666666667,0.6666666666666666,0.16666666666666666,10.632
Y0336,6,1.2,1.0166666666666666,0.13333333333333333,0.016666666666666666,0.016666666666666666,1.1833333333333333,0.7166666666666667,0.8333333333333334,0.26666666666666666,0.5,12.365
Y0337,12,1.4333333333333333,1.3333333333333333,0.083333333,0,0.18333333333333335,1.25,1.2,0.6666666666666666,0.5,0.4166666666666667,9.729
Y0339,10,1.5,1.2,0.2,0,0.2,1.1,0.8,0.6,0.5,0.3,9.282
Y0342,6,1.4,1.3333333333333333,0.16666666666666666,0,0.21666666666666667,0.85,1.7166666666666668,0.48333333333333334,0.5,0.3333333333333333,9.367
Y0350,12,1.35,1.1666666666666667,0.16666666666666666,0,0.1,1.0833333333333333,1.0333333333333334,0.5833333333333334,0.5833333333333334,0.25,9.415
Y0359,9,1.5777777777777777,1,0.1111111111111111,0,0.12222222222222222,1.2333333333333334,0.6555555555555556,0.7666666666666667,0.4444444444444444,0.4444444444444444,9.367
Y0362,5,1.8,1,0.2,0,0.2,1.2,0.4,0.6,0.6,0.2,9.692
Y0363,6,1.5166666666666666,1,0.3333333333333333,0.016666666666666666,0.18333333333333335,0.85,0.65,0.4666666666666667,0.43333333333333335,0.16666666666666666,8.929
Y0365,6,1.7166666666666668,1.0166666666666666,0.13333333333333333,0,0.18333333333333335,1.1833333333333333,0.7166666666666667,0.6833333333333333,0.5,0.3333333333333333,9.415
Y0370,6,1.5166666666666666,1,0.16666666666666666,0.016666666666666666,0.18333333333333335,1.1833333333333333,0.65,0.6333333333333333,0.43333333333333335,0.3333333333333333,7.245
Y0373,8,1.9,1.25,0,0.25,0.15,1.5,1.05,0.375,0.75,0.25,7.167
Y0381,8,1.1375,1,0.25,0.0125,0.0125,0.8875,0.7375,0.6,0.325,0.375,12.757
Y0382,6,1.7,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.6666666666666666,0.5,0.6166666666666667,0.16666666666666666,7.396
Y0388,6,1.6833333333333333,1,0.16666666666666666,0.016666666666666666,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.65,0.25,0.5,8.749
Y0391,5,1.8,1.4,0,0.2,0.2,1.4,1.4,0.4,0.8,0.2,8.306
Y0395,12,1.4583333333333333,1,0.1,0,0.175,1.0333333333333334,0.85,0.6333333333333333,0.35833333333333334,0.5,10.372
Y0396,5,1.88,1.4,0,0.2,0.24,1.4,1.6800000000000002,0.4,0.8,0.2,8.886
Y0399,6,1.6666666666666667,1,0.16666666666666666,0.16666666666666666,0,1.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,7.963
Y0403,5,1.4,1,0.2,0,0.2,1.2,0.4,0.6,0.2,0.6,9.341
Y0406,12,1.4,1.3333333333333333,0.16666666666666666,0,0.125,1.0833333333333333,1.3916666666666666,0.5833333333333334,0.6666666666666666,0.16666666666666666,8.937
Y0413,5,1.62,1.02,0.16,0,0.2,1.6,0.08,0.64,0.2,0.6,9.428
Y0430,5,1.18,1,0.2,0.02,0,1.6,0,0.78,0.12,0.6,13.617
Y0439,5,1.52,1,0,0.02,0.2,1.4,0.8,0.78,0.56,0.4,9.323
Y0440,5,1.48,1.4,0,0.2,0.04,1.2,1.6800000000000002,0.4,0.74,0.2,7.485
Y0443,5,1.88,1.4,0,0.2,0.24,1.2,2.08,0.4,1,0,8.498
Y0444,6,2.033333333333333,1,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,8.591
Y0445,6,1.4,1.3333333333333333,0.16666666666666666,0,0.2,1,1.4000000000000001,0.5,0.45,0.3333333333333333,8.703
Y0448,5,1.44,1,0.2,0,0.22,1.02,0.78,0.58,0.6,0.2,9.123
Y0450,18,1.2555555555555555,1,0.16666666666666666,0,0.066666667,1.1777777777777778,0.6333333333333333,0.7111111111111111,0.3277777777777778,0.5,10.222
