HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
Y0239,8,1.275,1,0.25,0,0.1375,1.1375,0.4875,0.4875,0.5,0.25,9.314
Y0240,5,1.6,1,0.2,0,0.2,1.6,0,0.6,0.4,0.4,9.33
Y0243,13,1.4,1.153846154,0.153846154,0,0.092307692,1.115384615,0.992307692,0.692307692,0.461538462,0.307692308,9.251
Y0245,5,1.4,1.4,0,0,0.2,1.6,1,0.6,0.6,0.4,9.379
Y0246,8,1.275,1,0.125,0,0.1375,1.3875,0.4875,0.7375,0.375,0.5,9.849
Y0248,5,1.42,1.02,0.16,0,0.2,1.6,0.08,0.64,0.4,0.4,10.015
Y0250,8,1.2875,1.0125,0.1,0,0.1375,1.1375,0.7875,0.6375,0.5,0.375,9.721
Y0251,18,1.177777778,1.111111111,0.166666667,0,0.066666667,1.166666667,0.8,0.666666667,0.277777778,0.555555556,10.015
Y0254,7,1.457142857,1,0.142857143,0,0.157142857,1.585714286,0.271428571,0.7,0.428571429,0.428571429,10.477
Y0255,6,2,1,0,0.166666667,0.166666667,1.666666667,0.333333333,0.666666667,0.666666667,0.333333333,9.353
Y0258,11,1.409090909,1.190909091,0.072727273,0,0.118181818,1.554545455,0.790909091,0.736363636,0.363636364,0.545454545,10.159
Y0259,9,1.133333333,1,0.333333333,0,0.011111111,0.788888889,0.655555556,0.544444444,0.333333333,0.333333333,10.492
Y0260,15,1.413333333,1.133333333,0.266666667,0,0.073333333,1.006666667,0.726666667,0.526666667,0.4,0.333333333,9.269
Y0261,10,1.32,1,0.2,0,0.11,1.11,0.59,0.59,0.4,0.4,9.662
Y0262,11,1.363636364,1.181818182,0.181818182,0,0.181818182,1,0.909090909,0.545454545,0.454545455,0.272727273,9.577
Y0266,5,1.86,1.02,0.16,0,0.22,1.42,0.46,0.62,0.6,0.2,9.309
Y0269,19,1.442105263,1.105263158,0.210526316,0.052631579,0.068421053,1.215789474,0.647368421,0.573684211,0.368421053,0.421052632,9.415
Y0270,6,1.5,1,0.166666667,0,0.166666667,1.666666667,0,0.666666667,0.333333333,0.5,9.446
Y0285,8,1.425,1.25,0.125,0,0.1625,1.1375,1.2875,0.4875,0.5,0.375,9.829
Y0288,5,1.42,1.02,0.16,0,0.2,1,0.88,0.64,0.4,0.4,9.851
Y0307,7,1.6,1,0.142857143,0,0.157142857,1.585714286,0.271428571,0.7,0.428571429,0.428571429,9.436
Y0309,18,1.522222222,1.111111111,0.166666667,0.055555556,0.127777778,1.227777778,0.683333333,0.55,0.444444444,0.333333333,9.401
Y0310,19,1.642105263,1.105263158,0.210526316,0.052631579,0.168421053,1.105263158,0.757894737,0.473684211,0.473684211,0.315789474,9.356
Y0311,37,1.243243243,1.108108108,0.108108108,0.027027027,0.081081081,1.324324324,0.783783784,0.72972973,0.351351351,0.513513514,10.063
Y0312,11,1.727272727,1,0.090909091,0.090909091,0.181818182,1.363636364,0.545454545,0.545454545,0.636363636,0.272727273,9.399
Y0313,5,1.88,1.4,0.2,0.2,0.26,1.2,0.86,0.2,0.8,0,9.358
Y0314,15,1.413333333,1.133333333,0.333333333,0.066666667,0.08,1,0.693333333,0.4,0.4,0.266666667,9.333
Y0315,8,1.375,1,0.25,0,0.125,1.25,0.25,0.625,0.25,0.5,9.367
Y0316,5,1.6,1,0,0,0.2,1.8,0.4,0.8,0.6,0.4,9.358
Y0317,17,1.505882353,1.235294118,0.235294118,0.058823529,0.088235294,1.058823529,0.982352941,0.470588235,0.529411765,0.235294118,9.248
Y0318,6,1.516666667,1,0.166666667,0.016666667,0.183333333,1.183333333,0.65,0.633333333,0.433333333,0.4,9.358
Y0324,10,1.43,1.01,0.08,0,0.11,1.21,0.63,0.71,0.5,0.3,8.936
Y0325,7,1.785714286,1.285714286,0,0.014285714,0.328571429,1.585714286,1.185714286,0.542857143,0.785714286,0.214285714,8.792
Y0327,10,1.44,1.2,0.3,0.1,0.13,1.11,0.83,0.39,0.5,0.2,9.252
Y0328,8,1.625,1.25,0.375,0,0.25,0.875,0.75,0.375,0.5,0.125,9.391
Y0329,8,1.525,1,0.25,0,0.1375,1.1375,0.4875,0.6125,0.5,0.25,9.692
Y0330,11,1.390909091,1.372727273,0.072727273,0,0.2,1.181818182,1.527272727,0.654545455,0.636363636,0.272727273,9.692
Y0334,6,1.383333333,1.016666667,0.133333333,0,0.183333333,1.183333333,0.716666667,0.516666667,0.666666667,0.166666667,10.632
Y0336,6,1.2,1.016666667,0.133333333,0.016666667,0.016666667,1.183333333,0.716666667,0.833333333,0.266666667,0.566666667,12.365
Y0337,12,1.433333333,1.333333333,0.083333333,0,0.183333333,1.25,1.2,0.666666667,0.5,0.333333333,9.729
Y0339,10,1.5,1.2,0.2,0,0.2,1.1,0.8,0.6,0.5,0.3,9.282
Y0342,6,1.4,1.333333333,0.166666667,0,0.216666667,0.85,1.716666667,0.483333333,0.5,0.333333333,9.367
Y0350,12,1.35,1.166666667,0.166666667,0,0.1,1.083333333,1.033333333,0.583333333,0.583333333,0.166666667,9.415
Y0359,9,1.577777778,1,0.111111111,0,0.122222222,1.233333333,0.655555556,0.766666667,0.444444444,0.444444444,9.367
Y0362,5,1.8,1,0.2,0,0.2,1.2,0.4,0.6,0.6,0.2,9.692
Y0363,6,1.516666667,1,0.333333333,0.016666667,0.183333333,0.85,0.65,0.466666667,0.433333333,0.233333333,8.929
Y0365,6,1.716666667,1.016666667,0.133333333,0,0.183333333,1.183333333,0.716666667,0.683333333,0.5,0.333333333,9.415
Y0370,6,1.516666667,1,0.166666667,0.016666667,0.183333333,1.183333333,0.65,0.633333333,0.433333333,0.4,7.245
Y0373,8,1.9,1.25,0,0.25,0.15,1.5,1.05,0.375,0.75,0.25,7.167
Y0381,8,1.1375,1,0.25,0.0125,0.0125,0.8875,0.7375,0.6,0.325,0.425,12.757
Y0382,6,1.7,1,0.166666667,0.166666667,0.166666667,1.166666667,0.666666667,0.5,0.616666667,0.216666667,7.396
Y0383,5,1.84,1,0,0.4,0.02,1.02,1.18,0.38,0.8,0.2,3.499
Y0388,6,1.683333333,1,0.166666667,0.016666667,0.166666667,1.333333333,0.333333333,0.65,0.25,0.583333333,8.749
Y0391,5,1.8,1.4,0,0.2,0.2,1.4,1.4,0.4,0.8,0.2,8.306
Y0395,12,1.458333333,1,0.1,0,0.175,1.033333333,0.85,0.633333333,0.358333333,0.541666667,10.372
Y0396,5,1.88,1.4,0,0.2,0.24,1.4,1.68,0.4,0.8,0.2,8.886
Y0399,6,1.666666667,1,0.166666667,0.166666667,0,1.5,0.333333333,0.666666667,0.333333333,0.5,7.963
